"id","coreId","minorId","clusterId","title","text","researcherName","researcherTitle","researcherAffiliation"
2,,1,1,"Lutheran Presence & German Trade","In eu semper nibh, blandit euismod massa. Sed ut pulvinar lorem. Praesent sit amet porta leo. Proin luctus enim sit amet risus molestie, ut elementum leo pulvinar. Morbi maximus felis nec arcu malesuada, a venenatis felis consectetur. Nullam in risus sem. Aenean eget luctus nulla.","john doe","professor","University"
4,,3,1,"Lutheran Religious Practices","Quisque tincidunt blandit ipsum, et consectetur dui vulputate nec. Praesent quis velit consectetur quam pharetra feugiat ut vel nibh. Aliquam porttitor nibh et ullamcorper feugiat. Quisque tempus pretium nunc, eu egestas turpis posuere in. Proin enim nunc, vestibulum at erat at, tempor semper leo. Nunc tincidunt enim sed tempus dapibus. Nullam vel elit vitae velit vulputate lacinia vel non erat. Fusce in feugiat nulla. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Curabitur iaculis dictum placerat. Maecenas et risus nec metus blandit laoreet. Donec enim velit, hendrerit eu justo at, mollis elementum risus. In tristique metus at dolor tristique, nec aliquam arcu faucibus. Nullam nec risus tortor.","john doe","professor","University"
10,13,0,0,"","During the days of the Venetian Republic the piazza in front of Basilica di San Marco became a grand stage for public processions celebrating Venice’s religious and political history. The current piazza derives from a grant of land from Doge Sebastiano Ziani. It is defined by the Basilica di San Marco at the eastern end and, on the sides, the Marciana Library (the oldest public library in the world) and the palaces of the procurators. The nine procurators managed the vast endowments of the Basilica di San Marco, which made them among the most influential financial experts in Europe.","Edward Muir","","Northwestern University"
12,1,0,0,"","Performed every year on Ascension Day, the marriage of the sea was originally a rite of supplication to guarantee safe sailing. Adapting the agrarian rituals of beating the bounds to the needs of a seafaring community, a flotilla of boats sailed to the boundaries of the lagoon. In an elaborate state ceremony, the doge aboard the gilded /bucintoro/ galley dropped a gold ring into the sea, saying “We espouse thee, O sea, as a sign of true and perpetual dominion.” The ritual opened the sailing season and declared Venice’s claims to sovereignty over the Adriatic Sea.","Edward Muir","","Northwestern University"
14,24,0,0,"","Built in the fourteenth century by the now defunct /Umiliati/ order, the church was originally dedicated to St. Christopher, the patron saint of gondoliers. It now takes its name from an allegedly miraculous statue of the Madonna, which the prior of the church of Santa Maria Formosa had dumped in a nearby orchard (/orto/). After reports of its miraculous powers, the /Umiliati/ rescued the statue and placed it on the high altar of their church. It contains some of the most prized works of the Venetian Renaissance, including paintings by Giovanni Bellini and especially Tintoretto, who is buried there. ","Edward Muir","","Northwestern University"
19,6,0,0,"","Built for the Greek Orthodox community, San Giorgio dei Greci was financed by taxing all Greek ships arriving in Venice. Built in the sixteenth century in the Venetian Renaissance style, it conforms to Greek religious architecture by including a separate women’s gallery and an eye-catching iconostasis, a screen covered with forty-six icons by a Cretan artist. At the time it was built, Crete was a Venetian colony. The great twentieth-century composer Igor Stravinsky, a member of the Russian Orthodox Church, chose San Giorgio to be the location of his funeral mass. He is buried in the cemetery on the island of San Michele.","Edward Muir","","Northwestern University"
21,7,0,0,"","The current church, built between 1469 and 1478 by Maruo Codussi, was the first church in Venice in the Renaissance style. The <>Camaldolesi<-> monks who lived here included the famed cartographer Fra Mauro, who created in 1450 the most accurate map of the world as it was known before Columbus. Intended for Prince Henry the Navigator of Portugal, this <>mappa mundi<-> provided geographical guidance for exploratory voyages. The cartography workshop at San Michele initiated the Venetian mapping technology represented by the map on display here. ","Edward Muir","","Northwestern University"
23,45,0,0,"","During the days of the Venetian Republic the piazza in front of Basilica di San Marco became a grand stage for public processions celebrating Venice’s religious and political history. The current piazza derives from a grant of land from Doge Sebastiano Ziani. It is defined by the Basilica di San Marco at the eastern end and, on the sides, the Marciana Library (the oldest public library in the world) and the palaces of the procurators. The nine procurators managed the vast endowments of the Basilica di San Marco, which made them among the most influential financial experts in Europe.","Edward Muir","","Northwestern University"
25,46,0,0,"","Nicolas Jenson was a French printer who learned his craft at Mainz (possibly sent by King Charles VII to conduct industrial espionage) before his arrival in Venice, where he began issuing books in 1470. While he lived in San Canciano, his workshop may have been at San Salvador in the commercial area of the /Merceria/. Jenson was celebrated for his typefaces: his roman type was specifically designed to aid readers of printed books by helping to “pull” or guide the eye along the page. The first book printed in this type was an edition of the Latin translation of Eusebius’ /De Evangelica Praeparatione/ (In Preparation for the Gospel); the book has exerted enormous influence on typographers over the centuries.","Jill Gage","","Newberry Library"
27,44,0,0,"","Melchiorre Sessa was part of a publishing family that had established itself in Venice by 1489. For generations the family used variations of a printer’s device depicting a cat with a mouse in its mouth. Sessa dealt in fabric as well as books, and had a shop near Campo San Lio. ","Jill Gage","","Newberry Library"
