id,narrativeId,src,caption
1,1,/img/placeholder_06.jpg ,lorem ipsum
2,2,/img/placeholder_01.jpg,lorem ipsum
3,2,/img/placeholder_04.jpg,lorem ipsum
4,3,/img/placeholder_02.jpg,lorem ipsum
5,4,/img/placeholder_03.jpg,lorem ipsum
6,18,/img/GermansSignore%20titolato%20thedesco_case_w_93_94_pg_298v_o2.png,Germans by Vecellio
7,17,/img/GhettoHebrea_Vecellio_case_w_93_94_pg_463v_464r_o2.png,Hebrea by Vecellio
8,19,/img/TheGreeksReligiosa%20greca_case_w_93_94_pg_416v_417r_o2.png,Religiosa Greca by Vecellio
9,23,/img/Processione_S.Marco_wing_zp_635_f85_027_o2.png,Processione in Piazza San Marco by Doglioni
10,8,/img/Doge_wing_zp_635_f85_025_o2.png,The Venetian Doge with a view to Piazza San Marco
11,8,/img/Perspettiva%20della%20piazza%20S.Marco_case_w_93_94_pg_39_detail_o2.png,A Perspective onto Piazza San Marco
12,8,/img/Principe%20o%20doge%20di%20Venezia%202_case_w_93_94_pg_77_o2.png,Processione in Piazza San Marco by Doglioni
13,*,/img/TurksSultano%20dei%20turchi_case_w_93_94_pg_375v_376r_o2.png,Turkish Sultan by Vecellio
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,* no narrative yet for showing image,
